时间,商品名称,库存变化,单笔销量
2026-03-28 19:28:11,日本地址,初始销量: 0,0
2026-03-28 19:28:11,国际地址,初始销量: 0,0
2026-03-28 19:28:11,中国地址,初始销量: 0,0
2026-03-28 19:28:11,韩国地址,初始销量: -65,65
2026-03-28 20:23:45,中国地址,0->-1,1
2026-03-28 21:22:03,日本地址,0->-45,45
2026-03-28 21:29:41,韩国地址,-65->-68,3
2026-03-28 22:42:36,中国地址,-1->-3,2
2026-03-28 23:21:06,韩国地址,-68->-70,2
2026-03-28 23:29:32,日本地址,-45->-47,2
2026-03-28 23:32:28,韩国地址,-70->-75,5
2026-03-28 23:49:02,日本地址,-47->-48,1
2026-03-28 23:53:32,日本地址,-48->-49,1
2026-03-28 23:54:36,日本地址,-49->-47,-2
2026-03-29 01:18:55,日本地址,-47->-48,1
2026-03-29 07:44:24,国际地址,0->-1,1
2026-03-29 09:14:30,中国地址,-3->-4,1
2026-03-29 09:27:27,韩国地址,-75->-78,3
2026-03-29 09:51:14,国际地址,-1->-3,2
2026-03-29 10:25:52,中国地址,-4->-3,-1
2026-03-29 10:56:32,日本地址,-48->-52,4
2026-03-29 11:13:58,韩国地址,-78->-104,26
2026-03-29 13:10:45,韩国地址,-104->-152,48
2026-03-29 13:21:06,韩国地址,-152->-155,3
2026-03-29 14:15:52,韩国地址,-155->-157,2
2026-03-29 14:41:05,中国地址,-3->-4,1
2026-03-29 14:49:02,韩国地址,-157->-159,2
2026-03-29 15:31:48,国际地址,-3->-4,1
2026-03-29 17:08:52,日本地址,-52->-55,3
2026-03-29 17:38:41,韩国地址,-159->-204,45
2026-03-29 18:03:31,韩国地址,-204->-250,46
2026-03-29 18:22:29,国际地址,-4->-5,1
2026-03-29 18:23:22,日本地址,-55->-57,2
2026-03-29 18:35:38,韩国地址,-250->-255,5
2026-03-29 18:44:07,日本地址,-57->-60,3
2026-03-29 19:20:07,韩国地址,-255->-256,1
2026-03-29 19:31:31,韩国地址,-256->-289,33
2026-03-29 19:38:46,韩国地址,-289->-331,42
2026-03-29 20:01:52,中国地址,-4->-6,2
2026-03-29 20:05:41,韩国地址,-331->-333,2
2026-03-29 20:09:50,韩国地址,-333->-335,2
2026-03-29 20:24:30,日本地址,-60->-68,8
2026-03-29 20:39:53,韩国地址,-335->-337,2
2026-03-29 20:47:31,国际地址,-5->-8,3
2026-03-29 20:48:14,韩国地址,-337->-338,1
2026-03-29 20:54:29,韩国地址,-338->-354,16
2026-03-29 21:03:50,韩国地址,-354->-367,13
2026-03-29 21:05:56,韩国地址,-367->-365,-2
2026-03-29 21:54:34,韩国地址,-365->-367,2
2026-03-29 21:58:43,韩国地址,-367->-369,2
2026-03-29 22:07:01,韩国地址,-369->-370,1
2026-03-29 22:14:18,韩国地址,-370->-372,2
2026-03-29 22:17:25,韩国地址,-372->-376,4
2026-03-29 22:20:33,韩国地址,-376->-378,2
2026-03-29 22:21:37,韩国地址,-378->-380,2
2026-03-29 22:28:52,韩国地址,-380->-382,2
2026-03-29 22:34:04,韩国地址,-382->-385,3
2026-03-29 22:53:43,韩国地址,-385->-390,5
2026-03-29 22:58:55,韩国地址,-390->-393,3
2026-03-29 23:00:19,国际地址,-8->-10,2
2026-03-29 23:01:02,韩国地址,-393->-395,2
2026-03-29 23:25:10,中国地址,-6->-8,2
